phase,print_id,feature_id,axis,nominal_mm,method,repetition,measured_mm,status,zero_before_mm,zero_after_mm,notes
baseline,XY-S-FIRST-baseline,x_overall145,x,145,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_overall145,x,145,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_overall145,x,145,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_short30,x,30,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,x_short30,x,30,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,x_short30,x,30,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,x_long100,x,100,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,x_long100,x,100,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,x_long100,x,100,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,x_cross15,x,15,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_cross15,x,15,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_cross15,x,15,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_width15,x,15,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_width15,x,15,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_width15,x,15,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_width25,x,25,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_width25,x,25,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_width25,x,25,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_width35,x,35,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_width35,x,35,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_width35,x,35,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_span85,x,85,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_span85,x,85,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_span85,x,85,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_root30,x,30,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_root30,x,30,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_root30,x,30,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_step_middle30,x,30,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,x_step_middle30,x,30,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,x_step_middle30,x,30,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,x_step_tip30,x,30,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,x_step_tip30,x,30,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,x_step_tip30,x,30,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,x_inner45,x,45,inner_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_inner45,x,45,inner_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_inner45,x,45,inner_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_inner10,x,10,inner_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_inner10,x,10,inner_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_inner10,x,10,inner_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_wall_straight7_5,x,7.5,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_wall_straight7_5,x,7.5,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_wall_straight7_5,x,7.5,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_wall_wide17_5,x,17.5,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_wall_wide17_5,x,17.5,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_wall_wide17_5,x,17.5,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,x_wall_middle7_5,x,7.5,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,x_wall_middle7_5,x,7.5,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,x_wall_middle7_5,x,7.5,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_overall145,y,145,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_overall145,y,145,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_overall145,y,145,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_short30,y,30,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,y_short30,y,30,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,y_short30,y,30,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,y_long100,y,100,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,y_long100,y,100,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,y_long100,y,100,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,y_cross15,y,15,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_cross15,y,15,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_cross15,y,15,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_width15,y,15,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_width15,y,15,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_width15,y,15,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_width25,y,25,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_width25,y,25,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_width25,y,25,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_width35,y,35,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_width35,y,35,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_width35,y,35,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_span85,y,85,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_span85,y,85,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_span85,y,85,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_root30,y,30,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_root30,y,30,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_root30,y,30,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_step_middle30,y,30,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,y_step_middle30,y,30,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,y_step_middle30,y,30,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,y_step_tip30,y,30,depth_rod,1,,,,,
baseline,XY-S-FIRST-baseline,y_step_tip30,y,30,depth_rod,2,,,,,
baseline,XY-S-FIRST-baseline,y_step_tip30,y,30,depth_rod,3,,,,,
baseline,XY-S-FIRST-baseline,y_inner45,y,45,inner_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_inner45,y,45,inner_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_inner45,y,45,inner_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_inner10,y,10,inner_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_inner10,y,10,inner_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_inner10,y,10,inner_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_wall_straight7_5,y,7.5,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_wall_straight7_5,y,7.5,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_wall_straight7_5,y,7.5,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_wall_wide17_5,y,17.5,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_wall_wide17_5,y,17.5,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_wall_wide17_5,y,17.5,outer_jaws,3,,,,,
baseline,XY-S-FIRST-baseline,y_wall_middle7_5,y,7.5,outer_jaws,1,,,,,
baseline,XY-S-FIRST-baseline,y_wall_middle7_5,y,7.5,outer_jaws,2,,,,,
baseline,XY-S-FIRST-baseline,y_wall_middle7_5,y,7.5,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_overall145,x,145,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_overall145,x,145,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_overall145,x,145,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_short30,x,30,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,x_short30,x,30,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,x_short30,x,30,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,x_long100,x,100,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,x_long100,x,100,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,x_long100,x,100,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,x_cross15,x,15,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_cross15,x,15,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_cross15,x,15,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_width15,x,15,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_width15,x,15,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_width15,x,15,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_width25,x,25,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_width25,x,25,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_width25,x,25,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_width35,x,35,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_width35,x,35,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_width35,x,35,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_span85,x,85,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_span85,x,85,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_span85,x,85,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_root30,x,30,outer_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_root30,x,30,outer_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_root30,x,30,outer_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_step_middle30,x,30,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,x_step_middle30,x,30,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,x_step_middle30,x,30,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,x_step_tip30,x,30,depth_rod,1,,,,,
verification,XY-S-FIRST-verification,x_step_tip30,x,30,depth_rod,2,,,,,
verification,XY-S-FIRST-verification,x_step_tip30,x,30,depth_rod,3,,,,,
verification,XY-S-FIRST-verification,x_inner45,x,45,inner_jaws,1,,,,,
verification,XY-S-FIRST-verification,x_inner45,x,45,inner_jaws,2,,,,,
verification,XY-S-FIRST-verification,x_inner45,x,45,inner_jaws,3,,,,,
verification,XY-S-FIRST-verification,x_inner10,x,10,inner_jaws,1,,,,,
